"Recnum"	"TaskXY"	"TaskZ"	"Lösung.1"	"Lösung.2"	"Lösung.3"	"Lösung.4"	"Lösung.5"	"Lösung.6"	"Lösung.7"	"Lösung.8"	"Lösung.9"
27	"Apfel/Schale"	"Apfelbaum/?"	"Rinde"	"Baumrinde"	NA	NA	NA	NA	NA	NA	NA
28	"Bratkartoffeln/Pfanne"	"Gemüsesuppe/?"	"Topf"	"Kochtopf"	"Suppentopf"	NA	NA	NA	NA	NA	NA
29	"vermindern/vermehren"	"subtrahieren/?"	"addieren"	NA	NA	NA	NA	NA	NA	NA	NA
30	"sechs/Zahl"	"Hass/?"	"Gefühl"	"Emotion"	NA	NA	NA	NA	NA	NA	NA
31	"Junge/Bruder"	"Mädchen/?"	"Schwester"	NA	NA	NA	NA	NA	NA	NA	NA
32	"Buch/drucken"	"Brief/?"	"schreiben"	"verfassen"	NA	NA	NA	NA	NA	NA	NA
33	"Wanderung/Rucksack"	"Reise/?"	"Koffer"	"Trolley"	"Reisekoffer"	"Tasche"	NA	NA	NA	NA	NA
34	"einsteigen/Abfahrt"	"aussteigen/?"	"Ankunft"	NA	NA	NA	NA	NA	NA	NA	NA
35	"Lokomotive/Dampf"	"Straßenbahn/?"	"Strom"	"Elektrizität"	"Elektro"	"Elektronik"	"Stromnetz"	"Elektrik"	NA	NA	NA
36	"Gesicht/waschen"	"Wohnung/?"	"putzen"	"wischen"	"aufräumen"	NA	NA	NA	NA	NA	NA
37	"ich/mich"	"wir/?"	"uns"	NA	NA	NA	NA	NA	NA	NA	NA
38	"Brille/Auge"	"Krücke/?"	"Bein"	"Fuß"	"Beine"	"Beinen"	NA	NA	NA	NA	NA
39	"niedrig/hoch"	"billig/?"	"teuer"	NA	NA	NA	NA	NA	NA	NA	NA
40	"Kreide/Schwamm"	"Bleistift/?"	"Radiergummi"	"Radierer"	NA	NA	NA	NA	NA	NA	NA
41	"genau/messen"	"ungefähr/?"	"schätzen"	"raten"	NA	NA	NA	NA	NA	NA	NA
42	"Wein/Fass"	"Kartoffeln/?"	"Sack"	"Kiste"	"Netz"	NA	NA	NA	NA	NA	NA
43	"Frage/Antwort"	"Rätsel/?"	"Lösung"	NA	NA	NA	NA	NA	NA	NA	NA
44	"Stadt/Dorf"	"See/?"	"Teich"	"Tümpel"	"Pfütze"	NA	NA	NA	NA	NA	NA
45	"zusammen/allein"	"mehrere/?"	"einer"	"einzeln"	"einzelner"	"ein"	"einzelne"	"einzig"	"ein einzelner"	NA	NA
46	"Stiel/Hammer"	"Klinke/?"	"Tür"	"Türgriff"	NA	NA	NA	NA	NA	NA	NA
47	"hoffen/verzweifeln"	"froh/?"	"unglücklich"	"traurig"	"verloren"	"betrübt"	"trauern"	"trauer"	NA	NA	NA
48	"finden/verlieren"	"erinnern/?"	"vergessen"	NA	NA	NA	NA	NA	NA	NA	NA
49	"klein/groß"	"kurz/?"	"lang"	NA	NA	NA	NA	NA	NA	NA	NA
50	"Vertrauen/Experte"	"Unsicherheit/?"	"Anfänger"	"Laie"	"Novize"	"Amateur"	"Neuling"	"Unwissende"	"Unwissender"	NA	NA
51	"lustig/traurig"	"gut/?"	"böse"	"schlecht"	NA	NA	NA	NA	NA	NA	NA
52	"spät/früh"	"Abend/?"	"Morgen"	"morgens"	NA	NA	NA	NA	NA	NA	NA
53	"schwimmen/Wasser"	"fliegen/?"	"Luft"	"Himmel"	NA	NA	NA	NA	NA	NA	NA
54	"warm/kalt"	"stumpf/?"	"spitz"	"scharf"	NA	NA	NA	NA	NA	NA	NA
55	"wann/jetzt"	"wo/?"	"hier"	"dort"	NA	NA	NA	NA	NA	NA	NA
56	"Wettlauf/Stoppuhr"	"Weitsprung/?"	"Metermaß"	"Maßband"	"Messlatte"	"Messband"	NA	NA	NA	NA	NA
57	"Artikel/Journalist"	"Roman/?"	"Autor"	"Schriftsteller"	"Buchautor"	NA	NA	NA	NA	NA	NA
58	"Hund/Welpe"	"Pflanze/?"	"Setzling"	"Keim"	"Spross"	"Sprössling"	"Keimling"	"Steckling"	"Samen"	"Knospe"	"Sprößling"
60	"Mütze/Kopf"	"Schuh/?"	"Fuß"	NA	NA	NA	NA	NA	NA	NA	NA
61	"Licht/Auge"	"Schall/?"	"Ohr"	NA	NA	NA	NA	NA	NA	NA	NA
62	"Milch/Kuh"	"Wolle/?"	"Schaf"	NA	NA	NA	NA	NA	NA	NA	NA
63	"Fernseher/sehen"	"Radio/?"	"hören"	NA	NA	NA	NA	NA	NA	NA	NA
64	"Appetit/Essen"	"Durst/?"	"Getränk"	"Trinken"	"trinken"	NA	NA	NA	NA	NA	NA
65	"Fisch/Aquarium"	"Wellensittich/?"	"Käfig"	"Vogelkäfig"	NA	NA	NA	NA	NA	NA	NA
67	"Zahnarzt/Zähne"	"Friseur/?"	"Haare"	NA	NA	NA	NA	NA	NA	NA	NA
69	"Spinat/Gemüse"	"Birke/?"	"Baum"	"Bäume"	"Baumart"	"Bäumen"	NA	NA	NA	NA	NA
70	"Federhalter/Tinte"	"Pinsel/?"	"Farbe"	"Malfarbe"	"Tusche"	"Ölfarben"	"Wasserfarbe"	"Farben"	"Malfarben"	"Farbmalkasten"	NA
71	"Koch/Herd"	"Bäcker/?"	"Backofen"	"Ofen"	NA	NA	NA	NA	NA	NA	NA
72	"Auto/Verkehrsmittel"	"Löffel/?"	"Besteck"	NA	NA	NA	NA	NA	NA	NA	NA
74	"Tisch/Tischbein"	"Brücke/?"	"Pfeiler"	"Brückenpfeiler"	"Pfosten"	"Säule"	"Brückenpfahl"	"Fundament"	NA	NA	NA
77	"Uhr/Tageszeit"	"Kompass/?"	"Himmelsrichtung"	"Richtung"	"Lage"	"Ortsorientierung"	NA	NA	NA	NA	NA
78	"wann/Zeit"	"wo/?"	"Ort"	"Lokalität"	NA	NA	NA	NA	NA	NA	NA
79	"Quadrat/Kreis"	"Würfel/?"	"Kugel"	"Ball"	NA	NA	NA	NA	NA	NA	NA
81	"Schiff/anlegen"	"Flugzeug/?"	"landen"	NA	NA	NA	NA	NA	NA	NA	NA
89	"Pfütze/Teich"	"Bach/?"	"Fluss"	"Strom"	NA	NA	NA	NA	NA	NA	NA
90	"Sommer/Regen"	"Winter/?"	"Schnee"	"schneien"	NA	NA	NA	NA	NA	NA	NA
91	"Würfel/eckig"	"Ball/?"	"rund"	NA	NA	NA	NA	NA	NA	NA	NA
92	"Baum/Wald"	"Grashalm/?"	"Wiese"	"Rasen"	"Gras"	NA	NA	NA	NA	NA	NA
94	"Mehl/Bäcker"	"Stoff/?"	"Schneider"	"Näherin"	"Näher"	NA	NA	NA	NA	NA	NA
96	"Kleinkind/Kindergarten"	"Schüler/?"	"Schule"	NA	NA	NA	NA	NA	NA	NA	NA
97	"Wand/Stein"	"Tisch/?"	"Holz"	NA	NA	NA	NA	NA	NA	NA	NA
99	"Nacht/Tag"	"Finsternis/?"	"Licht"	"Helligkeit"	NA	NA	NA	NA	NA	NA	NA
100	"Dezember/Jahr"	"Sonntag/?"	"Woche"	NA	NA	NA	NA	NA	NA	NA	NA
101	"Stuhl/Bank"	"Sessel/?"	"Sofa"	"Couch"	NA	NA	NA	NA	NA	NA	NA
102	"Schiff/Kapitän"	"Stadt/?"	"Bürgermeister"	"Herrscher"	NA	NA	NA	NA	NA	NA	NA
103	"Zehen/Fuß"	"Finger/?"	"Hand"	"Hände"	NA	NA	NA	NA	NA	NA	NA
104	"Album/Foto"	"Zeitung/?"	"Artikel"	"Text"	NA	NA	NA	NA	NA	NA	NA
107	"Schule/Lehrer"	"Kirche/?"	"Pfarrer"	"Priester"	"Pastor"	"Prediger"	"Pater"	NA	NA	NA	NA
109	"Blitz/hell"	"Donner/?"	"laut"	"Lärm"	"Geräusch"	NA	NA	NA	NA	NA	NA
110	"Kleid/Frau"	"Gefieder/?"	"Vogel"	"Huhn"	"Pfau"	NA	NA	NA	NA	NA	NA
112	"Dunkelheit/Helligkeit"	"Stille/?"	"Lärm"	"Getöse"	"Geräusch"	"Geräusche"	"laut"	"Lautstärke"	"Laut"	"Krach"	NA
115	"Winter/wärmen"	"Sommer/?"	"kühlen"	"abkühlen"	"frieren"	"erfrischen"	"Kälte"	"kälter"	NA	NA	NA
116	"essen/hungrig"	"schlafen/?"	"müde"	"schläfrig"	NA	NA	NA	NA	NA	NA	NA
117	"Windhund/Hund"	"Lachs/?"	"Fisch"	NA	NA	NA	NA	NA	NA	NA	NA
119	"Stunde/Minute"	"Minute/?"	"Sekunde"	NA	NA	NA	NA	NA	NA	NA	NA
120	"Milimeter/Meter"	"Meter/?"	"Kilometer"	NA	NA	NA	NA	NA	NA	NA	NA
