Subject	Block	Trial	Operation	Side	SOA	Delay	Delayjitter	Task	TaskRecNo	Orignum	TaskXY	TaskZ	Solution	VOTtoj	Responsetoj	Accuracytoj	Respright	VOTanalog	Accuracyanalogy_new2
1	4	43	1	1	70	750	-40	89	112	171	Dunkelheit/Helligkeit	Stille/?	Lärm	928.6101	1	1	1	5932.596	0
1	4	44	1	-1	-40	750	40	77	46	149	Stiel/Hammer	Klinke/?	Tür	1042.713	-1	1	0	2350.229	0
1	4	45	1	-1	-70	750	80	64	100	124	Dezember/Jahr	Sonntag/?	Woche	710.4909	-1	1	0	424.2006	0
1	4	46	1	-1	-40	1500	40	93	116	180	essen/hungrig	schlafen/?	müde	1218.412	-1	1	0	302.1028	1
1	4	47	1	1	20	750	40	68	40	130	Kreide/Schwamm	Bleistift/?	Radiergummi	1389.953	1	1	1	538.1604	1
1	4	48	1	-1	-110	250	-80	94	117	182	Windhund/Hund	Lachs/?	Fisch	568.212	-1	1	0	177.5685	1
1	4	49	1	-1	-110	1500	-80	4	58	12	Hund/Welpe	Pflanze/?	Setzling	572.2412	-1	1	0	482.2316	1
1	4	50	1	-1	-110	250	40	88	54	170	warm/kalt	stumpf/?	spitz	438.2787	-1	1	0	430.2514	1
1	4	51	1	1	110	1500	80	53	92	106	Baum/Wald	Grashalm/?	Wiese	694.3686	1	1	1	530.0391	1
1	4	52	1	1	110	1500	40	49	89	101	Pfütze/Teich	Bach/?	Fluss	656.1468	1	1	1	616.4357	1
1	4	53	1	-1	-20	250	-40	95	119	186	Stunde/Minute	Minute/?	Sekunde	1299.431	1	0	1	372.1888	1
1	4	54	1	1	40	750	80	34	72	64	Auto/Verkehrsmittel	Löffel/?	Besteck	682.3262	1	1	1	332.0844	1
1	4	55	1	-1	-40	250	80	18	10	39	Haar/Shampoo	Zähne/?	Zahnpasta	1118.895	1	0	1	424.1188	1
1	4	56	1	1	70	250	80	30	20	56	Wort/Satz	Teller/?	Geschirr	1448.341	1	1	1	478.3239	1
1	4	57	1	-1	-20	1500	80	46	28	87	Bratkartoffeln/Pfanne	Gemüsesuppe/?	Topf	1341.921	1	0	1	480.3277	1
1	4	58	1	1	20	1500	80	76	45	148	zusammen/allein	mehrere/?	einer	1302.966	1	1	1	722.3576	1
1	4	59	1	1	70	250	-40	22	13	46	Brot/Toaster	Speck/?	Bratpfanne	1048.744	1	1	1	602.3224	1
1	4	60	1	1	20	250	40	74	44	138	Stadt/Dorf	See/?	Teich	1311.726	1	1	1	342.2257	0
1	4	61	1	-1	-110	1500	40	15	64	36	Appetit/Essen	Durst/?	Getränk	1884.467	-1	1	0	908.6141	0
1	4	62	1	-1	-20	250	40	25	16	50	Beginn/Ende	fern/?	nah	348.2544	1	0	1	560.6205	1
1	4	63	1	1	70	1500	80	73	103	137	Zehen/Fuß	Finger/?	Hand	632.8225	1	1	1	426.1151	1
1	4	64	1	-1	-110	1500	-40	79	109	155	Blitz/hell	Donner/?	laut	67.90203	1	0	1	8.013361	0
1	5	65	1	1	40	250	40	66	39	128	niedrig/hoch	billig/?	teuer	574.6387	1	1	1	22.11009	1
1	5	66	1	1	70	1500	-40	47	29	93	vermindern/vermehren	subtrahieren/?	addieren	480.2692	1	1	1	170.5424	1
1	5	67	1	1	40	250	-40	85	51	167	lustig/traurig	gut/?	böse	650.3215	1	1	1	280.5252	1
1	5	68	1	1	40	250	40	3	2	8	Partei/Wähler	Produkt/?	Käufer	972.611	1	1	1	378.2136	1
1	5	69	1	1	70	1500	-80	38	77	73	Uhr/Tageszeit	Kompass/?	Himmelsrichtung	550.1582	1	1	1	426.5992	1
1	5	70	1	-1	-110	750	-80	80	110	156	Kleid/Frau	Gefieder/?	Vogel	786.5128	1	0	1	1201.402	1
1	5	71	1	-1	-110	1500	-40	71	42	135	Wein/Fass	Kartoffeln/?	Sack	780.5548	-1	1	0	440.2568	0
1	5	72	1	1	110	250	40	57	96	113	Kleinkind/Kindergarten	Schüler/?	Schule	680.3694	1	1	1	530.1402	1
1	5	73	1	1	20	1500	-80	28	19	54	schwach/stark	arm/?	reich	860.4824	1	1	1	2751.598	1
1	5	74	1	1	110	250	-40	41	25	76	Redner/Hörer	Zauberer/?	Zuschauer	1156.902	1	1	1	390.0965	1
1	5	75	1	-1	-20	250	80	42	26	77	stottern/sprechen	stolpern/?	gehen	NA	NA	0	NA	1329.562	1
1	5	76	1	-1	-20	250	-80	12	62	33	Milch/Kuh	Wolle/?	Schaf	1026.958	-1	1	0	687.7655	1
1	5	77	1	-1	-40	1500	80	17	65	38	Fisch/Aquarium	Wellensittich/?	Käfig	951.0082	-1	1	0	324.1053	1
1	5	78	1	-1	-70	250	40	9	5	28	Fußballer/Fußballplatz	Schwimmer/?	Schwimmbecken	672.2683	-1	1	0	828.5874	1
1	5	79	1	-1	-110	750	40	48	30	95	sechs/Zahl	Hass/?	Gefühl	1411.362	-1	1	0	1111.066	1
1	5	80	1	1	20	750	40	7	61	23	Licht/Auge	Schall/?	Ohr	754.3691	1	1	1	365.6508	1
1	5	81	1	-1	-70	750	40	87	53	169	schwimmen/Wasser	fliegen/?	Luft	1528.686	-1	1	0	492.16	1
1	5	82	1	-1	-40	750	80	69	102	133	Schiff/Kapitän	Stadt/?	Bürgermeister	540.7758	-1	1	0	450.5182	1
1	5	83	1	1	20	750	80	20	67	43	Zahnarzt/Zähne	Friseur/?	Haare	1245.028	1	1	1	514.1522	1
1	5	84	1	1	110	750	40	29	69	55	Spinat/Gemüse	Birke/?	Baum	838.5486	1	1	1	448.1117	1
1	5	85	1	1	70	250	40	14	63	35	Fernseher/sehen	Radio/?	hören	792.0219	1	1	1	430.3801	1
1	5	86	1	-1	-20	1500	80	31	21	60	Drehbuch/Spielfilm	Kochrezept/?	Gericht	868.4908	-1	1	0	384.2123	0
1	5	87	1	1	70	750	80	24	15	49	Sandwich/Tüte	Hammer/?	Werkzeugkasten	1854.953	1	1	1	3474.98	0
1	5	88	1	1	70	250	-80	82	48	160	finden/verlieren	erinnern/?	vergessen	798.6381	1	1	1	340.0936	1
1	5	89	1	-1	-20	1500	-80	8	4	24	alles/nichts	immer/?	nie	642.1954	-1	1	0	456.3854	1
1	5	90	1	1	20	250	-80	86	52	168	spät/früh	Abend/?	Morgen	1020.92	-1	0	0	288.0846	1
1	5	91	1	-1	-70	250	-40	37	23	69	Katze/Maus	Spinne/?	Fliege	1166.534	-1	1	0	430.1787	1
1	5	92	1	-1	-20	750	-40	62	99	120	Nacht/Tag	Finsternis/?	Licht	1302.94	1	0	1	519.9361	1
1	5	93	1	-1	-110	250	40	32	70	62	Federhalter/Tinte	Pinsel/?	Farbe	1235.131	-1	1	0	2252.36	1
1	5	94	1	1	70	750	-80	36	22	67	Schmerz/nachlassen	Hitze/?	abkühlen	662.4724	1	1	1	396.1039	1
1	5	95	1	-1	-40	750	-80	51	31	104	Junge/Bruder	Mädchen/?	Schwester	1036.384	-1	1	0	482.2225	1
1	5	96	1	-1	-70	250	-80	90	55	176	wann/jetzt	wo/?	hier	1546.322	-1	1	0	1059.08	0
1	6	97	1	1	40	1500	80	78	107	153	Schule/Lehrer	Kirche/?	Pfarrer	706.2342	1	1	1	414.1426	1
1	6	98	1	-1	-70	250	80	83	49	161	klein/groß	kurz/?	lang	671.8841	-1	1	0	416.0019	1
1	6	99	1	-1	-40	250	-40	33	71	63	Koch/Herd	Bäcker/?	Backofen	964.7716	-1	1	0	726.3095	1
1	6	100	1	1	70	1500	80	84	50	163	Vertrauen/Experte	Unsicherheit/?	Anfänger	658.3847	1	1	1	229.5897	1
1	6	101	1	1	110	1500	-80	11	7	30	Mensch/Schuh	Auto/?	Reifen	1037.186	1	1	1	1669.907	0
1	6	102	1	1	20	1500	-80	27	18	53	gewinnen/verlieren	oben/?	unten	756.5012	1	1	1	266.1201	1
1	6	103	1	1	70	1500	-40	63	37	123	ich/mich	wir/?	uns	613.8357	1	1	1	518.2107	1
1	6	104	1	1	110	1500	80	54	32	108	Buch/drucken	Brief/?	schreiben	696.3254	1	1	1	1327.572	1
1	6	105	1	-1	-70	750	-80	1	1	1	Buchstabe/Ziffer	Wort/?	Zahl	1860.997	-1	1	0	1369.907	1
1	6	106	1	1	110	750	-80	65	38	126	Brille/Auge	Krücke/?	Bein	596.2534	1	1	1	1172.26	1
1	6	107	1	1	70	750	40	26	17	52	eng/weit	Frage/?	Antwort	666.3075	1	1	1	466.1267	1
1	6	108	1	1	110	1500	-40	91	115	177	Winter/wärmen	Sommer/?	kühlen	740.5084	1	1	1	937.283	1
1	6	109	1	-1	-20	750	80	72	43	136	Frage/Antwort	Rätsel/?	Lösung	1072.709	-1	1	0	261.6419	1
1	6	110	1	-1	-110	1500	80	21	12	45	Hase/Karotte	Wolf/?	Schaf	1702.637	-1	1	0	1684.859	1
1	6	111	1	-1	-70	750	-80	45	81	85	Schiff/anlegen	Flugzeug/?	landen	1321.651	-1	1	0	294.0806	1
1	6	112	1	1	40	1500	-40	43	79	79	Quadrat/Kreis	Würfel/?	Kugel	1494.315	1	1	1	756.3673	0
1	6	113	1	-1	-40	250	-80	77	46	149	Stiel/Hammer	Klinke/?	Tür	1281.936	-1	1	0	3069.104	0
1	6	114	1	-1	-20	250	-40	40	24	75	Haus/Dach	Zimmer/?	Decke	928.4715	-1	1	0	277.6014	1
1	6	115	1	1	40	250	80	35	74	66	Tisch/Tischbein	Brücke/?	Pfeiler	928.9686	1	1	1	322.4967	1
1	6	116	1	-1	-70	750	-40	55	94	109	Mehl/Bäcker	Stoff/?	Schneider	522.4303	-1	1	0	338.2344	1
1	6	117	1	1	20	250	-40	39	78	74	wann/Zeit	wo/?	Ort	904.684	-1	0	0	282.2747	1
1	6	118	1	-1	-20	750	-80	75	104	144	Album/Foto	Zeitung/?	Artikel	1027.251	-1	1	0	1380.599	0
1	6	119	1	1	40	1500	-80	93	116	180	essen/hungrig	schlafen/?	müde	908.7452	1	1	1	335.8432	1
1	6	120	1	-1	-40	1500	40	64	100	124	Dezember/Jahr	Sonntag/?	Woche	690.6572	-1	1	0	414.2456	0
1	6	121	1	1	20	1500	40	6	60	19	Mütze/Kopf	Schuh/?	Fuß	995.2054	1	1	1	220.0936	1
1	6	122	1	1	20	750	-40	81	47	159	hoffen/verzweifeln	froh/?	unglücklich	1154.444	-1	0	0	774.4538	1
1	6	123	1	1	70	1500	40	56	33	111	Wanderung/Rucksack	Reise/?	Koffer	536.0587	1	1	1	312.4999	1
1	6	124	1	1	40	1500	-40	58	97	114	Wand/Stein	Tisch/?	Holz	698.2502	1	1	1	302.0783	1
1	6	125	1	-1	-20	750	-80	16	9	37	links/rechts	horizontal/?	vertikal	824.4697	1	0	1	420.1796	1
1	6	126	1	1	40	1500	80	68	40	130	Kreide/Schwamm	Bleistift/?	Radiergummi	697.8803	1	1	1	534.1762	1
1	6	127	1	1	110	1500	-40	60	35	117	Lokomotive/Dampf	Straßenbahn/?	Strom	975.0811	1	1	1	712.0248	1
1	6	128	1	1	20	1500	-40	13	8	34	Pilot/Flugzeug	Zugführer/?	Zug	810.035	1	1	1	746.5371	1
1	7	129	1	1	40	1500	-80	61	36	118	Gesicht/waschen	Wohnung/?	putzen	806.4278	1	1	1	298.5777	1
1	7	130	1	1	70	750	40	44	27	80	Apfel/Schale	Apfelbaum/?	Rinde	496.275	1	1	1	335.8097	1
1	7	131	1	-1	-40	750	-40	67	101	129	Stuhl/Bank	Sessel/?	Sofa	940.947	-1	1	0	326.2085	1
1	7	132	1	1	110	250	-80	96	120	187	Milimeter/Meter	Meter/?	Kilometer	1204.615	1	1	1	397.8328	1
1	7	133	1	1	110	250	-40	19	11	41	Bauer/Bauernhof	Arzt/?	Krankenhaus	714.7002	1	1	1	607.9879	1
1	7	134	1	-1	-110	750	40	59	34	115	einsteigen/Abfahrt	aussteigen/?	Ankunft	1061.009	1	0	1	46.0042	1
1	7	135	1	-1	-110	1500	-80	10	6	29	dick/lang	dünn/?	kurz	866.9885	-1	1	0	402.0485	1
1	7	136	1	-1	-40	1500	-40	23	14	47	Auto/Straße	Zug/?	Schiene	648.465	-1	1	0	565.9752	1
1	7	137	1	-1	-40	1500	-40	52	91	105	Würfel/eckig	Ball/?	rund	921.0956	-1	1	0	792.3255	1
1	7	138	1	1	110	250	80	70	41	134	genau/messen	ungefähr/?	schätzen	717.952	1	1	1	374.1365	1
1	7	139	1	1	110	750	-40	92	56	179	Wettlauf/Stoppuhr	Weitsprung/?	Metermaß	688.3905	1	1	1	435.7798	1
1	7	140	1	1	40	250	80	50	90	103	Sommer/Regen	Winter/?	Schnee	983.0694	-1	0	0	488.1659	1
1	7	141	1	-1	-20	1500	-40	5	3	16	hier/dort	nah/?	fern	1288.867	-1	1	0	634.1973	1
1	7	142	1	-1	-20	1500	40	2	57	2	Artikel/Journalist	Roman/?	Autor	752.5528	-1	1	0	326.3333	1
1	7	143	1	1	70	250	80	94	117	182	Windhund/Hund	Lachs/?	Fisch	738.3163	1	1	1	348.2473	1
1	7	144	1	1	40	750	-40	89	112	171	Dunkelheit/Helligkeit	Stille/?	Lärm	1945.304	1	1	1	2312.412	1
1	7	145	1	1	70	1500	40	86	52	168	spät/früh	Abend/?	Morgen	726.5025	1	1	1	525.8515	1
1	7	146	1	1	20	750	-80	8	4	24	alles/nichts	immer/?	nie	876.5549	1	1	1	258.1981	1
1	7	147	1	-1	-110	250	80	48	30	95	sechs/Zahl	Hass/?	Gefühl	1115.158	-1	1	0	921.1994	1
1	7	148	1	1	40	750	-40	28	19	54	schwach/stark	arm/?	reich	826.5173	1	1	1	526.1788	1
1	7	149	1	1	40	750	-80	29	69	55	Spinat/Gemüse	Birke/?	Baum	536.2498	1	1	1	362.0562	1
1	7	150	1	1	110	750	-80	3	2	8	Partei/Wähler	Produkt/?	Käufer	772.6352	1	1	1	293.9017	1
1	7	151	1	-1	-110	750	-40	79	109	155	Blitz/hell	Donner/?	laut	1419.3	-1	1	0	1549.337	1
1	7	152	1	-1	-110	750	-80	42	26	77	stottern/sprechen	stolpern/?	gehen	498.2124	-1	1	0	350.1907	1
1	7	153	1	1	20	250	-40	38	77	73	Uhr/Tageszeit	Kompass/?	Himmelsrichtung	994.8504	-1	0	0	172.093	1
1	7	154	1	-1	-110	250	-40	24	15	49	Sandwich/Tüte	Hammer/?	Werkzeugkasten	1026.651	-1	1	0	716.062	1
1	7	155	1	1	70	750	-80	49	89	101	Pfütze/Teich	Bach/?	Fluss	506.1754	1	1	1	344.0957	1
1	7	156	1	-1	-70	250	-40	15	64	36	Appetit/Essen	Durst/?	Getränk	706.4367	-1	1	0	216.2886	1
1	7	157	1	-1	-40	1500	-80	57	96	113	Kleinkind/Kindergarten	Schüler/?	Schule	700.2327	-1	1	0	335.7627	1
1	7	158	1	1	40	250	-80	66	39	128	niedrig/hoch	billig/?	teuer	720.3435	1	1	1	342.4595	1
1	7	159	1	1	110	750	80	25	16	50	Beginn/Ende	fern/?	nah	1267.219	1	1	1	210.0869	1
1	7	160	1	-1	-40	750	80	69	102	133	Schiff/Kapitän	Stadt/?	Bürgermeister	970.9022	-1	1	0	222.5234	1
1	8	161	1	1	20	250	80	47	29	93	vermindern/vermehren	subtrahieren/?	addieren	720.2594	1	1	1	246.0847	1
1	8	162	1	-1	-40	1500	-80	22	13	46	Brot/Toaster	Speck/?	Bratpfanne	868.8785	-1	1	0	320.2185	1
1	8	163	1	1	20	750	-80	80	110	156	Kleid/Frau	Gefieder/?	Vogel	1205.528	1	1	1	664.4604	1
1	8	164	1	-1	-70	250	80	90	55	176	wann/jetzt	wo/?	hier	1925.943	-1	1	0	716.1978	0
1	8	165	1	1	20	750	80	85	51	167	lustig/traurig	gut/?	böse	878.6408	-1	0	0	376.102	1
1	8	166	1	1	110	750	-40	71	42	135	Wein/Fass	Kartoffeln/?	Sack	1132.767	1	1	1	1144.844	0
1	8	167	1	-1	-20	1500	-80	9	5	28	Fußballer/Fußballplatz	Schwimmer/?	Schwimmbecken	1028.881	-1	1	0	786.4567	1
1	8	168	1	-1	-70	750	-40	53	92	106	Baum/Wald	Grashalm/?	Wiese	578.2605	-1	1	0	292.1747	1
1	8	169	1	-1	-20	250	80	51	31	104	Junge/Bruder	Mädchen/?	Schwester	824.5546	-1	1	0	298.0814	1
1	8	170	1	1	110	250	40	4	58	12	Hund/Welpe	Pflanze/?	Setzling	1243.561	1	1	1	543.9092	1
1	8	171	1	-1	-40	750	-80	18	10	39	Haar/Shampoo	Zähne/?	Zahnpasta	732.3816	-1	1	0	234.1548	1
1	8	172	1	-1	-40	750	40	20	67	43	Zahnarzt/Zähne	Friseur/?	Haare	1341.069	-1	1	0	308.2424	1
1	8	173	1	-1	-110	250	-40	73	103	137	Zehen/Fuß	Finger/?	Hand	604.7601	-1	1	0	0.4795516	1
1	8	174	1	-1	-70	250	-80	32	70	62	Federhalter/Tinte	Pinsel/?	Farbe	898.5498	-1	1	0	604.2993	1
1	8	175	1	1	70	1500	-80	95	119	186	Stunde/Minute	Minute/?	Sekunde	606.388	1	1	1	459.5887	1
1	8	176	1	1	70	750	80	34	72	64	Auto/Verkehrsmittel	Löffel/?	Besteck	626.3827	1	1	1	364.1042	1
1	8	177	1	-1	-20	750	40	30	20	56	Wort/Satz	Teller/?	Geschirr	NA	-1	1	0	2299.299	0
1	8	178	1	1	40	750	40	37	23	69	Katze/Maus	Spinne/?	Fliege	1595.061	1	1	1	1932.681	1
1	8	179	1	1	110	750	80	31	21	60	Drehbuch/Spielfilm	Kochrezept/?	Gericht	1061.541	1	1	1	574.3674	1
1	8	180	1	-1	-70	1500	80	87	53	169	schwimmen/Wasser	fliegen/?	Luft	902.54	-1	1	0	529.8231	1
1	8	181	1	-1	-40	250	40	12	62	33	Milch/Kuh	Wolle/?	Schaf	998.5855	-1	1	0	438.2089	1
1	8	182	1	-1	-40	250	-80	82	48	160	finden/verlieren	erinnern/?	vergessen	730.3158	-1	1	0	280.216	1
1	8	183	1	1	110	250	80	36	22	67	Schmerz/nachlassen	Hitze/?	abkühlen	1159.082	1	1	1	732.3678	1
1	8	184	1	-1	-40	750	-40	14	63	35	Fernseher/sehen	Radio/?	hören	752.3033	-1	1	0	368.1631	1
1	8	185	1	1	20	250	80	41	25	76	Redner/Hörer	Zauberer/?	Zuschauer	1030.632	1	1	1	498.2736	1
1	8	186	1	1	70	750	-40	76	45	148	zusammen/allein	mehrere/?	einer	528.7018	1	1	1	2194.522	1
1	8	187	1	1	20	1500	40	46	28	87	Bratkartoffeln/Pfanne	Gemüsesuppe/?	Topf	752.4138	1	1	1	305.8055	1
1	8	188	1	1	70	250	-40	74	44	138	Stadt/Dorf	See/?	Teich	NA	1	1	1	1596.109	0
1	8	189	1	-1	-110	1500	40	7	61	23	Licht/Auge	Schall/?	Ohr	997.0338	-1	1	0	265.9882	1
1	8	190	1	1	110	750	40	62	99	120	Nacht/Tag	Finsternis/?	Licht	710.1	1	1	1	195.6238	1
1	8	191	1	-1	-20	1500	-40	17	65	38	Fisch/Aquarium	Wellensittich/?	Käfig	900.5678	-1	1	0	490.281	1
1	8	192	1	1	20	750	-40	88	54	170	warm/kalt	stumpf/?	spitz	999.0017	-1	0	0	273.8237	1
2	3	1	1	1	110	250	-80	9	5	28	Fußballer/Fußballplatz	Schwimmer/?	Schwimmbecken	754.474	1	1	1	526.2754	1
2	3	2	1	-1	-110	750	-40	16	9	37	links/rechts	horizontal/?	vertikal	768.4992	-1	1	0	344.0989	1
2	3	3	1	1	20	750	-80	91	115	177	Winter/wärmen	Sommer/?	kühlen	1020.939	1	1	1	790.4081	1
2	3	4	1	1	110	750	40	89	112	171	Dunkelheit/Helligkeit	Stille/?	Lärm	1129.135	1	1	1	NA	1
2	3	5	1	1	70	250	80	75	104	144	Album/Foto	Zeitung/?	Artikel	915.4455	1	1	1	484.2024	1
2	3	6	1	1	70	750	-80	39	78	74	wann/Zeit	wo/?	Ort	448.1446	1	1	1	474.159	1
2	3	7	1	1	40	1500	80	82	48	160	finden/verlieren	erinnern/?	vergessen	530.4523	1	1	1	363.7691	1
2	3	8	1	-1	-20	1500	-80	1	1	1	Buchstabe/Ziffer	Wort/?	Zahl	1066.64	1	0	1	1242.682	0
2	3	9	1	1	70	1500	-40	14	63	35	Fernseher/sehen	Radio/?	hören	318.1872	1	1	1	490.263	1
2	3	10	1	-1	-110	750	-80	30	20	56	Wort/Satz	Teller/?	Geschirr	988.8695	-1	1	0	494.4352	1
2	3	11	1	1	40	1500	-80	62	99	120	Nacht/Tag	Finsternis/?	Licht	562.4097	1	1	1	377.8694	1
2	3	12	1	-1	-70	750	80	57	96	113	Kleinkind/Kindergarten	Schüler/?	Schule	480.1135	-1	1	0	384.2432	1
2	3	13	1	-1	-110	250	40	71	42	135	Wein/Fass	Kartoffeln/?	Sack	572.5696	-1	1	0	1544.899	0
2	3	14	1	1	40	750	80	94	117	182	Windhund/Hund	Lachs/?	Fisch	1140.722	1	1	1	432.2609	1
2	3	15	1	-1	-70	1500	-80	65	38	126	Brille/Auge	Krücke/?	Bein	690.2465	-1	1	0	566.2965	1
2	3	16	1	-1	-20	750	-40	79	109	155	Blitz/hell	Donner/?	laut	1484.434	1	0	1	392.2493	1
2	3	17	1	-1	-40	250	80	41	25	76	Redner/Hörer	Zauberer/?	Zuschauer	1178.522	1	0	1	700.5591	1
2	3	18	1	1	70	1500	-80	32	70	62	Federhalter/Tinte	Pinsel/?	Farbe	513.6767	1	1	1	492.3154	1
2	3	19	1	-1	-70	250	80	38	77	73	Uhr/Tageszeit	Kompass/?	Himmelsrichtung	1227.134	1	0	1	356.3352	1
2	3	20	1	1	110	1500	40	58	97	114	Wand/Stein	Tisch/?	Holz	358.3165	1	1	1	354.3942	1
2	3	21	1	1	20	250	80	80	110	156	Kleid/Frau	Gefieder/?	Vogel	770.5046	1	1	1	410.2134	1
2	3	22	1	-1	-110	750	-40	22	13	46	Brot/Toaster	Speck/?	Bratpfanne	472.5192	-1	1	0	897.0182	0
2	3	23	1	1	40	1500	-40	21	12	45	Hase/Karotte	Wolf/?	Schaf	1314.83	1	1	1	454.2835	1
2	3	24	1	-1	-110	750	80	36	22	67	Schmerz/nachlassen	Hitze/?	abkühlen	1416.171	1	0	1	1422.231	0
